model,track_id,stem_id,mldr_lr,mss_lr,mldr_ms,mss_ms,param_mse
afx_001,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.4897198081,0.4961248338,0.5949957371,0.8416890502,4.808571339
mfcc_01,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.4761003256,0.5594314933,0.6125720739,0.8446118236,2.331150532
mir_01,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.5912826061,0.5409816504,0.8720588684,0.8537086844,7.376605511
regression,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.6470189095,0.5553900599,0.7944077253,0.8544787169,3.561183929
afx_01,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.3605307341,0.5170118213,0.6456657648,0.8551869988,3.779026508
gt,TleilaxEnsemble_Late_RAW,TleilaxEnsemble_Late_RAW_05_01,0.2815715969,0.7752970457,0.3120092154,0.861587286,0
afx,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.3812730908,0.6091208458,0.5001050234,0.8621698618,2.552689791
afx_01,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.4807444811,0.4753968418,0.7053403854,0.8652074337,2.482871294
gt,HeladoNegro_MitadDelMundo_RAW,HeladoNegro_MitadDelMundo_RAW_03_01,0.1955168843,0.7014015913,0.296913892,0.8667631149,0
gt,TleilaxEnsemble_Late_RAW,TleilaxEnsemble_Late_RAW_04_01,0.2227153778,0.7886688113,0.2507734597,0.8677049875,0
mir_1,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.5738083124,0.4738883376,1.08920157,0.8690391779,7.330149651
nn_mfcc,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.5376181602,0.497821182,1.077938557,0.8714482784,5.060876846
afx_1,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.5327297449,0.4617867172,1.074699044,0.8728163838,7.088625908
mfcc_1,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.76324296,0.6052014828,0.944668889,0.8742690086,3.247002125
afx_001,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.4044088721,0.4678598344,0.6069149971,0.8743783236,4.063463688
gt,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,0.4250007272,0.6586805582,0.5388258696,0.8766300678,0
mfcc_1,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.7780367136,0.5766398311,1.006793618,0.8769825697,2.837217808
mfcc_1,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.764554143,0.6088591218,0.8521843553,0.8785640001,2.920570374
gt,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.1949486434,0.6274167299,0.1579239368,0.8786231279,0
gt,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,0.3140577674,0.4116043746,0.5472323895,0.878656745,0
regression,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.8353129625,0.6056252718,0.960264802,0.8809974194,2.926553488
nn_mfcc,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.5523629189,0.4778698385,0.9970160127,0.8829120994,8.374485016
regression,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.8338932991,0.5541546345,1.187390804,0.8831013441,2.569470644
gt,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.2821670771,0.7626546621,0.3764896393,0.8833526969,0
mfcc_1,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.6995540857,0.5624087453,0.7899904251,0.8856232166,2.708931684
gt,MatthewEntwistle_DontYouEver_RAW,MatthewEntwistle_DontYouEver_RAW_07_01,0.04927608371,0.1968063116,0.02674009465,0.8875312209,0
gt,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.282823652,0.4351893067,0.6080261469,0.8888196349,0
mfcc_001,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.9498533607,0.5499848127,1.116695166,0.8911070824,2.894740343
mfcc_01,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.6474313736,0.6371650696,0.7327189445,0.8947041631,2.112742186
mfcc_1,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.6022485495,0.5351256728,0.8318163157,0.9014205337,2.533824444
afx_1,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.6581945419,0.3978283405,0.7662286162,0.9046712518,4.31956625
afx_001,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.4720475376,0.5273444057,0.6610225439,0.9083428383,2.815047026
gt,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.1581791937,0.7217687964,0.3250349164,0.9161987901,0
nn_afx,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.6208232045,0.4912357032,0.8781912923,0.9187898636,13.67554855
afx_001,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.3846761584,0.741781652,0.6295698881,0.9239886403,3.236836672
nn_afx,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.6365458965,0.7900096774,0.6645969152,0.9255656004,5.646466255
mfcc_01,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.3943107128,0.7254421711,0.7480325699,0.9258160591,2.718153715
afx_001,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.4843175113,0.5973372459,0.6677908301,0.9281640649,4.729276657
afx_01,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.3466510773,0.7528295517,0.6285255551,0.9287400246,2.459302902
nn_mfcc,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.641474247,0.5674837828,0.9161996841,0.9288102388,7.928891182
mean,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.5570541024,0.4719404578,1.230425596,0.9290257692,7.407399654
nn_afx,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.5897678137,0.7087599635,0.7227633595,0.9292601943,7.943928242
afx_01,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.4551578462,0.4286987185,0.7432482243,0.9380979538,3.245224714
mfcc_001,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.3901241422,0.723367691,0.7249183655,0.9404346943,2.897087097
mfcc_01,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.5250011683,0.8100938797,0.5741041899,0.9422617555,1.738654971
afx_1,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.7307616472,0.6008629203,0.9198781252,0.9435299635,3.009494305
afx,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.7509989142,0.6603802443,0.8267859817,0.9508675933,5.402184963
mir_1,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.6983876824,0.590657413,0.9629825354,0.9513190985,2.872078657
mir_01,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.8660197258,0.5923530459,1.139735937,0.9513693452,2.617566586
afx_001,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.2369561195,0.622040689,0.5765901804,0.9556386471,2.581341028
mfcc_001,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.3641965389,0.6663259268,0.7269183397,0.9565016627,2.435878754
afx_001,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.4191167951,0.7651002407,0.4688622653,0.9579459429,1.939567208
mir_01,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.517365694,0.8137687445,0.5956432819,0.9590759873,1.645345092
gt,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_03_01,0.2493985295,0.9442387819,0.2330450118,0.9653269053,0
afx,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.4974066317,0.8912246227,0.5008110404,0.9680594802,4.257556438
gt,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.2794228494,0.8506833315,0.4332718849,0.9711179733,0
mfcc_001,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.8799797893,1.12822485,0.8005956411,0.971172452,8.006943703
mfcc_1,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4405190945,0.7680253983,0.7463424206,0.9737143517,2.539419174
mean,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.5772046447,0.5625264645,0.7901441455,0.9738829136,2.666790009
afx_1,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.5525562763,0.5241277218,0.7771921754,0.9758380651,2.596785307
mfcc_1,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.7116416693,0.6727685928,0.8804962635,0.976352334,2.122669935
mir_1,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.6681011915,0.7473927736,0.7883592844,0.9777495861,2.13940239
gt,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.1798211783,0.6727280617,0.2796216309,0.9789204597,0
mfcc_01,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.8010923862,0.7733095884,0.8417069912,0.9827344418,2.024999857
mfcc,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,1.193777919,1.037500143,1.08901751,0.9899339676,10.98236942
afx,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4035658836,0.8121390343,0.640550077,0.9920713305,5.088254929
regression,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.6540837288,0.7336847782,0.7682288885,0.995495677,2.772368431
nn_mir,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.8410756588,0.7729386091,1.013237119,1.000028014,6.197525501
afx,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.5216636062,0.5945804119,0.7677111626,1.003159285,4.370350361
regression,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4329764843,0.7807554007,0.7169707417,1.005288482,2.968830109
gt,AvaLuna_Waterduct_RAW,AvaLuna_Waterduct_RAW_08_01,0.5824497938,0.8222916126,0.52467978,1.011870503,0
mir_001,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.6920547485,0.6734238863,0.787108779,1.012071133,7.215999126
nn_mfcc,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,1.048056364,0.6051553488,1.254688025,1.014963388,5.333309174
afx_001,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.4840212166,0.5754377842,0.7266632318,1.016288996,2.91356802
nn_mfcc,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.6197721958,0.6536194682,0.8918579817,1.018331289,4.898388386
mean,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.7240549922,0.4343535304,0.9088065028,1.018476725,4.809709549
gt,MidnightBlue_StarsAreScreaming_RAW,MidnightBlue_StarsAreScreaming_RAW_06_01,0.3033827245,0.7671028972,0.3768326938,1.020602942,0
nn_mfcc,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.4645044208,0.5691909194,0.8505395651,1.020809054,7.019287586
afx_01,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.6341097355,0.7663279772,0.7838585377,1.022250891,2.118288994
mfcc_001,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.8240250945,0.8015079498,0.9932324886,1.023518682,3.28245759
mfcc_1,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.7723826766,0.7680637836,0.9550459385,1.024108648,2.161565781
gt,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,0.2276805043,0.6255636215,0.3864737749,1.024660468,0
nn_param,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.6373012066,0.9143561125,0.7043828964,1.02980876,1.932632089
afx_01,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.4158552885,0.4890235662,0.6159909368,1.031753063,1.841766119
mfcc_01,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.6312481165,0.9066987038,0.7542815208,1.039621115,7.589355469
regression,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.8483912945,0.7622300386,0.9924749732,1.042021275,5.426342964
afx_001,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.6799893975,0.9294772148,0.7521686554,1.043183088,3.149172306
mfcc_001,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.7637197971,0.8094555736,0.8714058399,1.04418385,3.04185915
nn_mir,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.4244575799,0.8118757606,0.5323978662,1.045235515,4.791170597
mfcc,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,1.125965834,0.7328686714,1.313073158,1.047120214,5.855417728
nn_afx,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.7033926249,1.260101199,0.6086646318,1.047378778,11.04320812
nn_mir,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.7033926249,1.260101199,0.6086646318,1.047378778,11.04320812
nn_afx,MatthewEntwistle_DontYouEver_RAW,MatthewEntwistle_DontYouEver_RAW_07_01,0.100498423,0.1939949095,0.05395068228,1.050158381,16.01344109
nn_mir,MatthewEntwistle_DontYouEver_RAW,MatthewEntwistle_DontYouEver_RAW_07_01,0.100498423,0.1939949095,0.05395068228,1.050158381,16.01344109
nn_mir,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,1.434948683,0.7864001989,1.414791346,1.051149368,5.339991093
mfcc,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,1.124397278,0.62370646,1.543263912,1.053388596,5.766501904
afx,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,1.011150122,0.9210874438,0.9985671043,1.055631876,5.023706913
gt,PortStWillow_StayEven_RAW,PortStWillow_StayEven_RAW_08_01,0.4490320683,0.9081494212,0.3362699747,1.057012796,0
gt,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.3823573887,1.026781082,0.5220050216,1.059542894,0
nn_afx,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.6016898751,0.6627161503,0.7968623638,1.05966115,6.042225838
afx_1,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4505254626,0.7932803631,0.8151996732,1.060240746,2.692401648
afx_01,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.6215155721,0.546705842,0.7005066872,1.06244421,3.472299337
afx,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.712392509,0.9387943149,0.6186454296,1.065267801,9.948114395
mfcc_01,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.5542899966,0.9209672809,0.7550196648,1.066278696,2.497490644
nn_param,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.6459594369,0.665574491,0.8391464949,1.066379309,3.421055555
afx_001,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.2358827889,0.9828736186,0.4720311463,1.06673789,4.053186893
mfcc_01,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.4360408783,0.9261192083,0.6068636179,1.066921949,2.872950554
mfcc_01,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.827216804,0.8209804893,1.004220486,1.067286253,5.05300045
mir_1,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.7950268984,0.7006796598,0.8058309555,1.068467498,3.104691029
afx_01,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.4228236675,0.7498604655,0.502759397,1.06893599,1.780985236
afx,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.5729845762,0.9122498035,0.7236430645,1.0701437,4.764452934
mir_1,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.7510679364,0.7031322718,0.9412304163,1.072515726,3.286496401
mir_1,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.6809921861,0.6759026051,0.7657473087,1.075026989,2.122882128
nn_mfcc,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,0.7207889557,0.5530329347,0.9903615713,1.077302694,8.290880203
gt,MatthewEntwistle_Lontano_RAW,MatthewEntwistle_Lontano_RAW_02_01,1.008910537,1.063687325,0.8609700203,1.077874064,0
nn_mfcc,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.7248049974,0.9525973797,0.7925024033,1.083302975,9.438617706
afx_1,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.4955332875,0.5355716348,1.118919849,1.084452391,3.182970524
gt,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.3129300177,0.6914591789,0.5217605233,1.084458351,0
