model,track_id,stem_id,mldr_lr,mss_lr,mldr_ms,mss_ms,param_mse
mfcc_01,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.4714071751,0.9419035912,0.7882931828,1.122294068,3.171213388
nn_afx,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.7152690887,0.7880991697,0.8873353601,1.122570872,10.41753101
nn_mfcc,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.7306746244,0.9465124011,0.9605798125,1.122610569,5.845711708
nn_param,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.771732986,0.7989182472,1.391212702,1.123498559,2.818454027
mfcc_1,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.6572313309,0.8606946468,0.7539820671,1.123560429,1.721691251
mfcc_1,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.80598557,0.8354278803,1.010631084,1.125700593,4.975354195
gt,Meaxic_TakeAStep_RAW,Meaxic_TakeAStep_RAW_08_01,0.03604409099,0.1848233193,0.019747518,1.128871918,0
regression,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,1.016307592,0.7204412222,1.16887641,1.129211068,5.212912083
regression,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.649165988,0.9862655997,0.8650958538,1.129905462,7.14557457
mfcc_01,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.44411093,0.6633369327,1.047385335,1.132046342,4.561130047
nn_afx,Meaxic_TakeAStep_RAW,Meaxic_TakeAStep_RAW_08_01,0.05543890223,0.1821162403,0.0304550156,1.132443428,1.517041683
nn_param,Meaxic_TakeAStep_RAW,Meaxic_TakeAStep_RAW_08_01,0.05543890223,0.1821162403,0.0304550156,1.132443428,1.517041683
mir_1,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.5865228772,0.9790643454,0.7230374813,1.133747458,3.728066206
mfcc_01,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.5966900587,0.9832140803,0.7332127094,1.134003997,3.608452797
afx_001,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5114542246,0.7108768821,1.027855158,1.134228826,3.479420424
regression,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.4630159736,0.6831606627,1.006329775,1.135996342,3.953623056
nn_mir,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.3011571765,0.8461303711,0.7580046058,1.136469364,8.988723755
nn_mfcc,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.778247118,1.034550428,0.8246008754,1.137319326,5.399918079
nn_mfcc,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.3457397223,0.5495946407,0.7007461786,1.139036179,11.84320927
mean,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.8669828176,0.6663385034,1.165198326,1.139442563,3.128954649
mfcc_1,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.6685957313,1.090925932,0.8889673948,1.147377014,2.453915119
regression,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.6044065952,0.9971639514,0.7292185426,1.147542357,3.737485409
mir_1,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.8204398751,0.8560308814,1.059966683,1.149110913,5.054586887
nn_afx,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.4878519177,1.082505226,0.5797353983,1.151775122,7.117246628
mir,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.5930495262,1.073261619,0.6929337978,1.153916478,2.515047789
mfcc_001,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,1.491440892,0.9934455156,1.375608325,1.15485692,6.380970955
mean,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.766705513,0.621878624,1.029806376,1.155457497,2.968399286
mfcc_1,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.9261776805,0.8790355921,1.133842945,1.158373117,3.20547843
mir_1,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.6687970161,0.8476435542,0.7663824558,1.161588311,1.73085928
mean,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.7724958658,0.5879086256,1.420821428,1.16244328,2.855265856
mir_001,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.8212149143,1.250571489,0.7945427299,1.163695574,7.061595917
mean,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.7832135558,0.6582499743,1.257711291,1.165867209,3.489100456
nn_afx,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,1.256482124,1.05092001,1.034621239,1.166201711,3.932138205
mir_1,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.8697719574,1.018574834,0.9735469818,1.167203069,2.565999269
regression,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.7929803133,0.9657783508,1.010370731,1.17355895,3.601233959
nn_mir,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.6012951732,0.8267046213,0.8324991465,1.173877001,6.058722019
nn_mfcc,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.6496909261,0.9665255547,1.178989649,1.176508665,10.58301735
mir_01,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.6265751719,1.013673663,0.7537552118,1.176864147,7.321272373
afx_1,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.5709833503,0.5037071109,1.355047464,1.178227186,2.583720446
mfcc_01,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,0.4579797983,0.9048136473,0.5654239655,1.178496599,5.778007984
gt,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_02_01,0.222592324,0.9490014911,0.2578253746,1.180422783,0
mfcc_01,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,1.034029961,0.7247270346,1.37647748,1.181414604,5.14186573
mir_1,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.9812239408,0.9014333487,1.133231997,1.18149662,3.252421856
afx,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.2283839583,0.745185554,0.5539940596,1.181552887,6.049550056
regression,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.6467072964,0.7690172195,1.077732086,1.18262887,2.717237234
mfcc_01,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.4298018813,0.8557032347,0.6330802441,1.183181524,4.874403477
mfcc_1,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.5839986801,0.9977399707,0.7738035321,1.185832739,3.649056196
afx_01,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.3908885717,0.8877654076,0.6887224913,1.18759501,2.523052692
nn_afx,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,0.5063138008,0.5942592621,0.8603360653,1.188751459,5.235428333
mir,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.6386997104,1.131779909,0.648816824,1.189398885,6.887042522
afx_01,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,0.3219517171,0.7027301788,0.5884487629,1.189430952,5.85816288
mfcc_1,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5056682229,0.7387115359,1.146816015,1.19024682,4.711875439
gt,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_07_01,0.5758584738,1.112242222,0.652987361,1.194417953,0
mfcc_01,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.5963805318,1.119343638,0.873134017,1.194427252,2.452794075
nn_afx,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.7741165757,0.9881929159,0.9049654007,1.194814324,3.816885233
nn_param,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.6763519049,1.047576666,0.798411727,1.195690155,2.53924036
afx_001,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.4788020551,0.983455658,0.7282584906,1.195692539,2.593405247
mfcc_001,PortStWillow_StayEven_RAW,PortStWillow_StayEven_RAW_08_01,0.6619106531,1.028145671,0.5231514573,1.197051048,12.15548229
afx,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,1.210617781,1.049631596,1.110872746,1.19762969,5.693697453
mfcc_001,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.9165591598,0.9132453203,0.9318962097,1.200662971,5.216619492
mfcc,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,1.101789236,0.9526716471,1.238213778,1.201738358,5.892387867
afx,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.2848235369,1.217775345,0.4623897076,1.201832891,7.063718319
afx,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.6110529304,0.9306277037,0.7739927173,1.202664971,9.913933754
afx,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,0.8986849785,0.8616635203,0.9867699146,1.202688932,4.982942104
afx,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5324035883,0.7642046809,1.050768852,1.205000401,4.529428482
afx_01,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.7403856516,0.7684192061,0.9740214348,1.205863118,5.514924526
mfcc,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.8014495969,1.071434021,0.8561879396,1.207300544,4.002978325
nn_mfcc,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.3852135539,1.194908023,0.5135450363,1.207301855,5.011829376
afx,AvaLuna_Waterduct_RAW,AvaLuna_Waterduct_RAW_08_01,1.10039115,1.072878003,1.066360474,1.208126068,21.38070107
mfcc_1,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,0.4189864397,0.8160764575,0.5928049088,1.209155917,5.798485756
nn_mfcc,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,0.7296096683,1.049624324,1.023657799,1.209684134,8.230271339
afx_001,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.5621982813,0.9593085051,0.6488395929,1.20991683,6.390073776
nn_mfcc,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.385572046,0.6290413141,0.3285975754,1.210637093,26.80389595
afx_01,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5889047384,0.7947831154,1.116561651,1.210787058,4.384350777
nn_afx,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.460944593,0.5680888891,0.7641734481,1.212232947,4.256952286
afx_01,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.2923701406,0.7544006705,0.2511881292,1.212261438,21.04252815
afx,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.5601139069,0.9910749793,0.7304456234,1.213054538,3.599016905
nn_afx,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4886440933,0.8692202568,0.7250941992,1.216212869,4.382003784
nn_mir,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.7730648518,0.9992291331,0.8629984856,1.216379404,12.61550713
mfcc_001,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,0.903568387,1.038672447,1.237488508,1.218379259,6.513898373
nn_param,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.8595029712,0.7074698806,0.7632547617,1.218834877,3.434386969
mfcc_01,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,1.820498705,0.8836687803,1.883399963,1.220172405,4.560483932
afx_01,AvaLuna_Waterduct_RAW,AvaLuna_Waterduct_RAW_08_01,1.426994801,0.9742373228,1.219980955,1.220646381,21.74608231
nn_mfcc,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,1.218078136,0.9898592234,1.338094711,1.222407579,10.12541294
nn_mir,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.5028312206,0.8273783922,0.5561982393,1.223924875,4.064060688
gt,Torres_NewSkin_RAW,Torres_NewSkin_RAW_03_01,1.313038707,1.076532602,0.6791031957,1.224080324,0
afx_1,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,0.3968909383,0.7819978595,0.607013166,1.224286199,5.78630209
mfcc_1,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.5203106403,1.111035228,0.8353775144,1.225405931,3.018544912
nn_afx,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_04_01,0.5549155474,1.176608205,0.5678986311,1.225665808,4.054419041
nn_mfcc,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_04_01,0.5549155474,1.176608205,0.5678986311,1.225665808,4.054419041
mean,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.3323918879,0.7233774662,0.2736172676,1.227961898,22.37877655
mfcc_001,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.4594500661,1.140065193,0.6609110832,1.229375601,2.618974924
regression,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.9789625406,0.9231612086,1.159159422,1.229604363,3.502923489
afx,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_02_01,0.5619998574,1.136422396,0.6264804006,1.231413603,4.947239399
afx_01,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.688385725,0.7763365507,0.9592263103,1.231542587,2.573925495
nn_param,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.4026154876,0.9936689138,0.5650587082,1.23165524,2.920352697
nn_mfcc,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.4824838042,0.6692747474,0.7938466072,1.233803749,5.472291946
mfcc,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.6728157997,1.251633048,0.720004797,1.236169577,6.768310547
mfcc,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,1.27751255,1.042123318,1.255571723,1.236331582,5.988542557
gt,FamilyBand_Again_RAW,FamilyBand_Again_RAW_09_01,1.166460395,0.9227072597,1.154248357,1.240234613,0
mean,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.4920098782,0.8347012401,0.8994749784,1.24167943,2.756179571
nn_afx,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.3630439341,0.9348721504,0.5396186709,1.24171114,10.02752399
afx_1,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.6967589855,0.6563851833,0.8751826286,1.241914749,2.060426235
afx,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,0.7936929464,0.9650764465,0.9672518373,1.242455482,5.839954853
nn_mir,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.9674497843,0.64780581,1.723253131,1.242599487,7.6442523
mfcc_1,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,1.11391747,0.8373776674,1.311151028,1.242793322,4.873977661
afx,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.5474466085,0.8914521933,0.7053476572,1.246180892,5.750397205
mfcc_001,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.5894628167,1.144747972,0.9443215132,1.246955276,2.957863092
nn_mfcc,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.7371257544,0.584433496,1.422277927,1.247232437,6.243824959
regression,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.6223678589,0.8300373554,0.6850423813,1.250472426,1.593876243
mfcc_01,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.5204285383,1.153211355,0.7780425549,1.252326727,2.38299799
mfcc_1,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.3069833815,0.7372758389,0.2726297379,1.253000021,22.41738319
afx_001,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.6058434248,0.8760758638,0.8395383358,1.261773348,5.72028923
mfcc_001,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.6927267909,0.8578686118,1.158663034,1.262161613,4.680488586
mir_001,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.5388926268,0.9634398222,0.7154877782,1.262803555,3.598910332
mfcc_001,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.7131376266,1.140070438,0.9659557343,1.265479922,4.015923023
nn_mfcc,MusicDelta_Country1_RAW,MusicDelta_Country1_RAW_05_01,1.006136894,0.698898077,1.176289916,1.266225576,8.898328781
afx_1,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.3168197274,0.7241021991,0.2900162637,1.271366715,22.4546032
mir_1,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,1.099827528,0.8752923012,1.405411243,1.272375941,4.705683708
mir_1,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.6340497732,0.9915372729,0.8417232037,1.272676229,7.095571041
nn_mfcc,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.4823617637,0.8533887863,0.9122399092,1.274161339,5.647793293
gt,ClaraBerryAndWooldog_WaltzForMyVictims_RAW,ClaraBerryAndWooldog_WaltzForMyVictims_RAW_05_01,0.4285274148,0.8029007912,0.5299767852,1.276159048,0
gt,TleilaxEnsemble_MelancholyFlowers_RAW,TleilaxEnsemble_MelancholyFlowers_RAW_05_01,0.9011387825,1.222211719,0.8974133134,1.278984785,0
regression,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.606488049,1.09209156,0.9890346527,1.27941215,3.03222847
mfcc_001,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.7647403479,1.17072463,0.8654353619,1.279806495,3.594501257
mfcc_01,PortStWillow_StayEven_RAW,PortStWillow_StayEven_RAW_08_01,0.7145939469,1.122594595,0.5749322176,1.281285405,12.02681828
regression,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.941413939,0.7905002832,1.093415976,1.281421185,2.495153666
mean,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5232676268,0.7497829795,1.075214267,1.28217411,4.697921753
mir,MatthewEntwistle_Lontano_RAW,MatthewEntwistle_Lontano_RAW_02_01,1.21724391,1.262315273,1.066977978,1.288777113,6.182237148
mfcc_1,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.6286427975,0.9559994936,0.6781829,1.289695263,5.2503438
afx_001,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.3065373898,0.8327619433,0.29218328,1.29171598,18.88668442
mir_1,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.508487463,0.7633220553,1.174064398,1.292040825,4.5834198
gt,TleilaxEnsemble_MelancholyFlowers_RAW,TleilaxEnsemble_MelancholyFlowers_RAW_04_01,0.7902569771,1.252409935,0.8385663033,1.292818427,0
afx_001,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.3177273273,1.312864661,0.4673814774,1.293622613,3.160802841
afx_001,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,0.9088139534,0.8296281695,1.021757841,1.294034362,3.625917912
nn_param,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.8965771198,1.224181414,0.930308938,1.294088602,5.949844837
afx_001,MusicDelta_80sRock_RAW,MusicDelta_80sRock_RAW_04_01,0.4855795801,1.213937283,0.8613454103,1.299327493,3.282388449
mir_1,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.6379185915,0.989400804,0.6543789506,1.299726248,5.319423676
nn_mfcc,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.6828187704,1.000219703,0.6571713686,1.300601602,10.29197788
afx_001,HeladoNegro_MitadDelMundo_RAW,HeladoNegro_MitadDelMundo_RAW_03_01,0.4585789144,0.810767889,0.9489323497,1.302435517,13.38899422
mfcc_1,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.6523826122,1.198430777,0.9193352461,1.302840352,2.596095562
mfcc_01,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,1.183944702,1.264511347,1.314873934,1.305160284,5.693041801
nn_afx,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.4127060771,0.5961652398,0.6219109893,1.306778908,5.513098717
afx_1,ClaraBerryAndWooldog_Boys_RAW,ClaraBerryAndWooldog_Boys_RAW_06_01,0.5044999719,0.7382106781,1.040496588,1.306937933,4.793719769
gt,DreamersOfTheGhetto_HeavyLove_RAW,DreamersOfTheGhetto_HeavyLove_RAW_08_01,0.4351581335,1.242045522,0.4130452871,1.308388948,0
afx,PortStWillow_StayEven_RAW,PortStWillow_StayEven_RAW_08_01,0.7579770088,1.07878828,0.5712211132,1.308582544,14.05114937
mfcc_1,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.2916677594,1.335260272,0.56004107,1.309181929,3.226650953
afx_001,ClaraBerryAndWooldog_Stella_RAW,ClaraBerryAndWooldog_Stella_RAW_07_01,1.146509409,1.288321972,1.259609342,1.312352896,5.802499771
mfcc_01,MidnightBlue_StarsAreScreaming_RAW,MidnightBlue_StarsAreScreaming_RAW_06_01,0.8887383938,0.9801806211,1.054249525,1.312488317,8.015893936
nn_param,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.3211058378,1.191743374,0.6340732574,1.313030601,2.670900106
mfcc_1,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.6138085723,0.9488967657,0.8860560656,1.313795567,7.229925156
regression,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.5944765806,1.292972803,0.816134572,1.314410686,3.187018871
mir_1,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.7081660032,1.250074744,0.9315472841,1.316753864,2.851744652
nn_param,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.512962997,0.7982814312,0.6578782201,1.316804886,1.79568541
nn_param,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,0.5237008333,0.5209758878,0.8199898005,1.317081809,6.318074703
mfcc,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,1.27487433,1.539210677,1.30994916,1.31962204,9.025950432
nn_mfcc,MatthewEntwistle_Lontano_RAW,MatthewEntwistle_Lontano_RAW_02_01,1.182267427,1.1820786,0.9967910647,1.320964932,5.19401741
nn_mfcc,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.9589853287,1.02564311,0.8942942619,1.321383238,6.912433147
gt,MidnightBlue_StarsAreScreaming_RAW,MidnightBlue_StarsAreScreaming_RAW_07_01,0.3757737875,0.9004091024,0.4199069738,1.321781635,0
gt,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_03_01,0.4158087373,1.180345774,0.4296071529,1.322583914,0
mfcc_001,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,1.9111588,1.198393583,1.819559455,1.323394775,5.763771057
nn_afx,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.6331754327,0.8356119394,0.7997679114,1.32463038,3.061462402
nn_param,MusicDelta_Rockabilly_RAW,MusicDelta_Rockabilly_RAW_05_01,0.6331754327,0.8356119394,0.7997679114,1.32463038,3.061462402
mir_001,MatthewEntwistle_Lontano_RAW,MatthewEntwistle_Lontano_RAW_02_01,1.30609107,1.325047731,1.18095541,1.325180888,4.821674824
afx_01,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.5451163054,0.9291734695,0.6986202002,1.325511575,5.684052467
mfcc_001,MidnightBlue_StarsAreScreaming_RAW,MidnightBlue_StarsAreScreaming_RAW_06_01,0.9923708439,1.028473735,1.201042175,1.327673197,7.578438282
mir_01,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.9323743582,0.9041159153,1.075881958,1.328590751,3.30512929
mfcc_01,Snowmine_Curfews_RAW,Snowmine_Curfews_RAW_03_01,0.1991416067,0.8990145922,0.2081200182,1.329262972,22.20013618
mfcc_001,MatthewEntwistle_Lontano_RAW,MatthewEntwistle_Lontano_RAW_02_01,1.292309403,1.31820786,1.198135257,1.333088398,7.038040161
nn_mfcc,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_02_01,0.7012355328,1.533434629,0.6430985928,1.333802223,11.82177353
nn_param,MidnightBlue_StarsAreScreaming_RAW,MidnightBlue_StarsAreScreaming_RAW_06_01,1.118994951,1.108463287,1.118478298,1.333949566,3.809447289
mir_1,SongYiJeon_TwoMoons_RAW,SongYiJeon_TwoMoons_RAW_01_01,0.5263450146,1.244369745,0.8811230659,1.333961487,3.075353622
afx_01,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.9092372656,0.994459033,1.04428041,1.335383654,5.135792732
afx_001,TheKitchenettes_Alive_RAW,TheKitchenettes_Alive_RAW_01_01,0.4734889567,0.8760349154,0.6092689037,1.337518692,8.700819969
nn_param,Torres_NewSkin_RAW,Torres_NewSkin_RAW_05_01,1.202731848,1.216798186,1.470921755,1.338162899,4.752433777
gt,Auctioneer_OurFutureFaces_RAW,Auctioneer_OurFutureFaces_RAW_08_01,0.5565055609,0.9710891247,0.6485053897,1.340691686,0
mfcc_001,HopAlong_SisterCities_RAW,HopAlong_SisterCities_RAW_07_01,1.417438269,1.325331211,1.090361834,1.341782331,7.003836632
mfcc_01,MutualBenefit_NotForNothing_RAW,MutualBenefit_NotForNothing_RAW_06_01,0.7010401487,1.008608222,0.900189817,1.346171856,6.034333706
regression,MidnightBlue_HuntingSeason_RAW,MidnightBlue_HuntingSeason_RAW_01_01,0.5418822765,0.8799573183,0.8514279127,1.346505165,4.906918526
gt,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_01_01,0.7170423865,1.362144828,0.7046806812,1.347423792,0
